Name,Serving Size,Calories,Category
Black Forest Ham,219,260,Subway Sandwich Menu
Oven Roasted Chicken,226,280,Subway Sandwich Menu
Roast Beef,219,260,Subway Sandwich Menu
Subway Club,233,270,Subway Sandwich Menu
Sweet Onion Chicken Teriyaki,265,330,Subway Sandwich Menu
Turkey Breast,219,250,Subway Sandwich Menu
Veggie Delite,162,200,Subway Sandwich Menu
Chicken & Bacon Ranch Melt,347,470,Subway Sandwich Menu
Cold Cut Combo,220,400,Subway Sandwich Menu
Italian B.M.T.,221,400,Subway Sandwich Menu
Meatball Marinara,222,400,Subway Sandwich Menu
Pizza Sub Melt,223,400,Subway Sandwich Menu
Steak & Cheese,224,400,Subway Sandwich Menu
Tuna,225,400,Subway Sandwich Menu
Black Forest Ham,226,400,Subway Sandwich Menu
Roast Beef,227,400,Subway Sandwich Menu
Turkey Breast,228,400,Subway Sandwich Menu
Veggie Delite,229,400,Subway Sandwich Menu
Black Forest Ham,174,270,Subway Kids Meal
Roast Beef,184,280,Subway Kids Meal
Turkey Breast,184,280,Subway Kids Meal
Veggie Delite,146,240,Subway Kids Meal
Chicken Caesar,337,690,Subway Signature Wraps
Chipotle Steak & Gauc,377,720,Subway Signature Wraps
"Turkey, Bacon & Guac",356,690,Subway Signature Wraps
Black Forest Ham,344,110,Subway Chopped Salads Menu
Oven Roasted Chicken,351,130,Subway Chopped Salads Menu
Roast Beef,344,120,Subway Chopped Salads Menu
Subway Club,358,130,Subway Chopped Salads Menu
Sweet Onion Chicken Teriyaki (includes sweet onion dressing),408,220,Subway Chopped Salads Menu
Turkey Breast,344,110,Subway Chopped Salads Menu
Veggie Delite,287,60,Subway Chopped Salads Menu
Other Salads,,,Subway Chopped Salads Menu
Chicken & Bacon Ranch  Melt (includes ranch dressing),486,400,Subway Chopped Salads Menu
Cold Cut Combo,345,260,Subway Chopped Salads Menu
Italian B.M.T.,338,240,Subway Chopped Salads Menu
Meatball Marinara,330,290,Subway Chopped Salads Menu
Pizza Sub Melt,265,260,Subway Chopped Salads Menu
Steak & Cheese,286,200,Subway Chopped Salads Menu
Tuna,348,310,Subway Chopped Salads Menu
"Bacon, Egg White & Cheese",194,390,Subway Breakfast Menu
Egg White & Cheese,186,350,Subway Breakfast Menu
"Ham, Egg White & Cheese",214,380,Subway Breakfast Menu
"Sausage, Egg White & Cheese",242,490,Subway Breakfast Menu
Breakfast B.M.T Melt**,238,480,Subway Breakfast Menu
Mega**,251,530,Subway Breakfast Menu
"Steak, Egg White & Cheese**",228,420,Subway Breakfast Menu
Subway Sunrise Melt**,295,470,Subway Breakfast Menu
"Turkey, Egg White & Cheese**",223,390,Subway Breakfast Menu
"Bacon, Egg & Cheese",194,430,Subway Breakfast Menu
Egg & Cheese,186,390,Subway Breakfast Menu
"Ham, Egg & Cheese",214,420,Subway Breakfast Menu
"Sausage, Egg & Cheese",242,530,Subway Breakfast Menu
Breakfast B.M.T Melt**,238,520,Subway Breakfast Menu
Mega**,251,570,Subway Breakfast Menu
"Steak, Egg & Cheese**",228,460,Subway Breakfast Menu
Subway Sunrise Melt**,295,500,Subway Breakfast Menu
"Turkey, Egg & Cheese",223,430,Subway Breakfast Menu
"Bacon, Egg & Cheese on English Muffin",158,390,Subway Breakfast Menu
Egg & Cheese on English Muffin,153,370,Subway Breakfast Menu
"Ham, Eggy & Cheese on English Muffin",168,390,Subway Breakfast Menu
"Sausage, Egg & Cheese on English Muffin",182,440,Subway Breakfast Menu
Cheese,292,680,Subway Breakfast Menu
Bacon,315,760,Subway Breakfast Menu
Meatball,329,780,Subway Breakfast Menu
Pepperoni,322,800,Subway Breakfast Menu
Sausage,335,820,Subway Breakfast Menu
